城市中文,城市拼音_公交,城市缩写_地铁,公交线路数,地铁线路数,公交站点数,地铁站点数,公交文件夹,地铁文件夹,公交文件路径,地铁文件路径
上海,shanghai,sh,3225,66,17058,448,Shanghai,Shanghai,CPTOND-2025/dataset/bus/shapefiles/Shanghai,CPTOND-2025/dataset/metro/shapefiles/Shanghai
东莞,dongguan,dg,696,4,5412,24,Dongguan,Dongguan,CPTOND-2025/dataset/bus/shapefiles/Dongguan,CPTOND-2025/dataset/metro/shapefiles/Dongguan
乌鲁木齐,wulumuqi,wlmq,531,6,2097,52,urumchi,urumchi,CPTOND-2025/dataset/bus/shapefiles/urumchi,CPTOND-2025/dataset/metro/shapefiles/urumchi
佛山,foshan,fos,1372,14,7338,84,Foshan,Foshan,CPTOND-2025/dataset/bus/shapefiles/Foshan,CPTOND-2025/dataset/metro/shapefiles/Foshan
兰州,lanzhou,lz,556,4,2771,27,Lanzhou,Lanzhou,CPTOND-2025/dataset/bus/shapefiles/Lanzhou,CPTOND-2025/dataset/metro/shapefiles/Lanzhou
北京,beijing,bj,4137,70,16306,447,Beijing,Beijing,CPTOND-2025/dataset/bus/shapefiles/Beijing,CPTOND-2025/dataset/metro/shapefiles/Beijing
南京,nanjing,nj,1792,44,9292,303,nanking,nanking,CPTOND-2025/dataset/bus/shapefiles/nanking,CPTOND-2025/dataset/metro/shapefiles/nanking
南宁,nanning,nn,573,10,2765,96,Nanning,Nanning,CPTOND-2025/dataset/bus/shapefiles/Nanning,CPTOND-2025/dataset/metro/shapefiles/Nanning
南昌,nanchang,nc,837,16,4508,113,Nanchang,Nanchang,CPTOND-2025/dataset/bus/shapefiles/Nanchang,CPTOND-2025/dataset/metro/shapefiles/Nanchang
南通,nantong,nt,1065,6,7769,49,Nantong,Nantong,CPTOND-2025/dataset/bus/shapefiles/Nantong,CPTOND-2025/dataset/metro/shapefiles/Nantong
厦门,xiamen,xm,872,22,2577,131,Xiamen,Xiamen,CPTOND-2025/dataset/bus/shapefiles/Xiamen,CPTOND-2025/dataset/metro/shapefiles/Xiamen
合肥,hefei,hf,1450,14,9051,173,Hefei,Hefei,CPTOND-2025/dataset/bus/shapefiles/Hefei,CPTOND-2025/dataset/metro/shapefiles/Hefei
呼和浩特,huhehaote,hhht,278,4,1567,43,Hohhot,Hohhot,CPTOND-2025/dataset/bus/shapefiles/Hohhot,CPTOND-2025/dataset/metro/shapefiles/Hohhot
哈尔滨,haerbin,heb,830,9,4752,83,Harbin,Harbin,CPTOND-2025/dataset/bus/shapefiles/Harbin,CPTOND-2025/dataset/metro/shapefiles/Harbin
大连,dalian,dl,986,14,3907,94,Dalian,Dalian,CPTOND-2025/dataset/bus/shapefiles/Dalian,CPTOND-2025/dataset/metro/shapefiles/Dalian
天津,tianjin,tj,1831,32,9366,250,Tianjin,Tianjin,CPTOND-2025/dataset/bus/shapefiles/Tianjin,CPTOND-2025/dataset/metro/shapefiles/Tianjin
太原,taiyuan,ty,707,2,3005,23,Taiyuan,Taiyuan,CPTOND-2025/dataset/bus/shapefiles/Taiyuan,CPTOND-2025/dataset/metro/shapefiles/Taiyuan
宁波,ningbo,nb,2446,12,12281,124,ningbo,ningbo,CPTOND-2025/dataset/bus/shapefiles/ningbo,CPTOND-2025/dataset/metro/shapefiles/ningbo
常州,changzhou,cz,1152,4,7394,43,Changzhou,Changzhou,CPTOND-2025/dataset/bus/shapefiles/Changzhou,CPTOND-2025/dataset/metro/shapefiles/Changzhou
广州,guangzhou,gz,2612,70,10143,409,Guangzhou,Guangzhou,CPTOND-2025/dataset/bus/shapefiles/Guangzhou,CPTOND-2025/dataset/metro/shapefiles/Guangzhou
徐州,xuzhou,xz,814,6,6091,57,Xuzhou,Xuzhou,CPTOND-2025/dataset/bus/shapefiles/Xuzhou,CPTOND-2025/dataset/metro/shapefiles/Xuzhou
成都,chengdu,cd,3048,42,13817,338,Chengdu,Chengdu,CPTOND-2025/dataset/bus/shapefiles/Chengdu,CPTOND-2025/dataset/metro/shapefiles/Chengdu
无锡,wuxi,wx,1353,20,6972,125,Wuxi,Wuxi,CPTOND-2025/dataset/bus/shapefiles/Wuxi,CPTOND-2025/dataset/metro/shapefiles/Wuxi
昆明,kunming,km,848,18,3306,115,Kunming,Kunming,CPTOND-2025/dataset/bus/shapefiles/Kunming,CPTOND-2025/dataset/metro/shapefiles/Kunming
杭州,hangzhou,hz,3246,44,15099,325,Hangzhou,Hangzhou,CPTOND-2025/dataset/bus/shapefiles/Hangzhou,CPTOND-2025/dataset/metro/shapefiles/Hangzhou
武汉,wuhan,wh,1658,44,8558,353,Wuhan,Wuhan,CPTOND-2025/dataset/bus/shapefiles/Wuhan,CPTOND-2025/dataset/metro/shapefiles/Wuhan
沈阳,shenyang,sy,805,28,5858,204,Shenyang,Shenyang,CPTOND-2025/dataset/bus/shapefiles/Shenyang,CPTOND-2025/dataset/metro/shapefiles/Shenyang
洛阳,luoyang,ly,553,4,4439,33,Luoyang,Luoyang,CPTOND-2025/dataset/bus/shapefiles/Luoyang,CPTOND-2025/dataset/metro/shapefiles/Luoyang
济南,jinan,jn,1424,10,8214,75,Jinan,Jinan,CPTOND-2025/dataset/bus/shapefiles/Jinan,CPTOND-2025/dataset/metro/shapefiles/Jinan
深圳,shenzhen,sz,1976,53,7218,372,Shenzhen,Shenzhen,CPTOND-2025/dataset/bus/shapefiles/Shenzhen,CPTOND-2025/dataset/metro/shapefiles/Shenzhen
温州,wenzhou,wz,1537,6,9073,47,Wenzhou,Wenzhou,CPTOND-2025/dataset/bus/shapefiles/Wenzhou,CPTOND-2025/dataset/metro/shapefiles/Wenzhou
滁州,chuzhou,chuz,612,4,5273,17,Chuzhou,Chuzhou,CPTOND-2025/dataset/bus/shapefiles/Chuzhou,CPTOND-2025/dataset/metro/shapefiles/Chuzhou
石家庄,shijiazhuang,sjz,740,10,5146,64,Shijiazhuang,Shijiazhuang,CPTOND-2025/dataset/bus/shapefiles/Shijiazhuang,CPTOND-2025/dataset/metro/shapefiles/Shijiazhuang
福州,fuzhou,fz,1220,18,5442,119,Fuzhou,Fuzhou,CPTOND-2025/dataset/bus/shapefiles/Fuzhou,CPTOND-2025/dataset/metro/shapefiles/Fuzhou
绍兴,shaoxing,sx,2840,8,12041,48,Shaoxing,Shaoxing,CPTOND-2025/dataset/bus/shapefiles/Shaoxing,CPTOND-2025/dataset/metro/shapefiles/Shaoxing
